Freq [GHz],g1(mm),w1(mm),Dielectric Constant,"S(1,1) in dB"
20,1.8,0.7,2.2,-1.60474363
20.1,1.8,0.7,2.2,-1.652808158
20.2,1.8,0.7,2.2,-1.703894826
20.3,1.8,0.7,2.2,-1.758019424
20.4,1.8,0.7,2.2,-1.815222915
20.5,1.8,0.7,2.2,-1.875583357
20.6,1.8,0.7,2.2,-1.939228824
20.7,1.8,0.7,2.2,-2.006351171
20.8,1.8,0.7,2.2,-2.077220595
20.9,1.8,0.7,2.2,-2.152201078
21,1.8,0.7,2.2,-2.231767008
21.1,1.8,0.7,2.2,-2.316521496
21.2,1.8,0.7,2.2,-2.407217189
21.3,1.8,0.7,2.2,-2.504780663
21.4,1.8,0.7,2.2,-2.610341876
21.5,1.8,0.7,2.2,-2.725270569
21.6,1.8,0.7,2.2,-2.851222069
21.7,1.8,0.7,2.2,-2.990195672
21.8,1.8,0.7,2.2,-3.144609776
21.9,1.8,0.7,2.2,-3.317399249
22,1.8,0.7,2.2,-3.512142447
22.1,1.8,0.7,2.2,-3.733227927
22.2,1.8,0.7,2.2,-3.986074697
22.3,1.8,0.7,2.2,-4.277425291
22.4,1.8,0.7,2.2,-4.615738751
22.5,1.8,0.7,2.2,-5.011721786
22.6,1.8,0.7,2.2,-5.479051903
22.7,1.8,0.7,2.2,-6.035365821
22.8,1.8,0.7,2.2,-6.703602594
22.9,1.8,0.7,2.2,-7.513766262
23,1.8,0.7,2.2,-8.504948184
23.1,1.8,0.7,2.2,-9.726356786
23.2,1.8,0.7,2.2,-11.23128133
23.3,1.8,0.7,2.2,-13.0372229
23.4,1.8,0.7,2.2,-14.9507311
23.5,1.8,0.7,2.2,-16.12340437
23.6,1.8,0.7,2.2,-15.42201828
23.7,1.8,0.7,2.2,-13.40796816
23.8,1.8,0.7,2.2,-11.25804734
23.9,1.8,0.7,2.2,-9.398876358
24,1.8,0.7,2.2,-7.873629215
24.1,1.8,0.7,2.2,-6.637296254
24.2,1.8,0.7,2.2,-5.636267113
24.3,1.8,0.7,2.2,-4.824175259
24.4,1.8,0.7,2.2,-4.163438321
24.5,1.8,0.7,2.2,-3.624058776
24.6,1.8,0.7,2.2,-3.18217442
24.7,1.8,0.7,2.2,-2.818816373
24.8,1.8,0.7,2.2,-2.518906386
24.9,1.8,0.7,2.2,-2.270454668
25,1.8,0.7,2.2,-2.063918887
25.1,1.8,0.7,2.2,-1.891693142
25.2,1.8,0.7,2.2,-1.74770211
25.3,1.8,0.7,2.2,-1.627080106
25.4,1.8,0.7,2.2,-1.525918217
25.5,1.8,0.7,2.2,-1.441065621
25.6,1.8,0.7,2.2,-1.369973692
25.7,1.8,0.7,2.2,-1.310573738
25.8,1.8,0.7,2.2,-1.261181038
25.9,1.8,0.7,2.2,-1.220419435
26,1.8,0.7,2.2,-1.187161949
26.1,1.8,0.7,2.2,-1.160483903
26.2,1.8,0.7,2.2,-1.139625834
26.3,1.8,0.7,2.2,-1.123964071
26.4,1.8,0.7,2.2,-1.112987343
26.5,1.8,0.7,2.2,-1.106278149
26.6,1.8,0.7,2.2,-1.103497913
26.7,1.8,0.7,2.2,-1.104375147
26.8,1.8,0.7,2.2,-1.108696049
26.9,1.8,0.7,2.2,-1.116297058
27,1.8,0.7,2.2,-1.12705902
27.1,1.8,0.7,2.2,-1.14090268
27.2,1.8,0.7,2.2,-1.157785293
27.3,1.8,0.7,2.2,-1.177698186
27.4,1.8,0.7,2.2,-1.200665146
27.5,1.8,0.7,2.2,-1.226741549
27.6,1.8,0.7,2.2,-1.25601416
27.7,1.8,0.7,2.2,-1.288601569
27.8,1.8,0.7,2.2,-1.324655235
27.9,1.8,0.7,2.2,-1.364361146
28,1.8,0.7,2.2,-1.407942091
28.1,1.8,0.7,2.2,-1.455660591
28.2,1.8,0.7,2.2,-1.507822508
28.3,1.8,0.7,2.2,-1.56478142
28.4,1.8,0.7,2.2,-1.626943792
28.5,1.8,0.7,2.2,-1.694775067
28.6,1.8,0.7,2.2,-1.768806748
28.7,1.8,0.7,2.2,-1.849644595
28.8,1.8,0.7,2.2,-1.937978055
28.9,1.8,0.7,2.2,-2.034591072
29,1.8,0.7,2.2,-2.140374402
29.1,1.8,0.7,2.2,-2.256339594
29.2,1.8,0.7,2.2,-2.383634767
29.3,1.8,0.7,2.2,-2.523562314
29.4,1.8,0.7,2.2,-2.677598633
29.5,1.8,0.7,2.2,-2.847415925
29.6,1.8,0.7,2.2,-3.034906028
29.7,1.8,0.7,2.2,-3.24220615
29.8,1.8,0.7,2.2,-3.471726191
29.9,1.8,0.7,2.2,-3.726177099
30,1.8,0.7,2.2,-4.008599385
30.1,1.8,0.7,2.2,-4.322390386
30.2,1.8,0.7,2.2,-4.671328055
30.3,1.8,0.7,2.2,-5.059587736
30.4,1.8,0.7,2.2,-5.491746018
30.5,1.8,0.7,2.2,-5.972761584
30.6,1.8,0.7,2.2,-6.507915088
30.7,1.8,0.7,2.2,-7.102675353
30.8,1.8,0.7,2.2,-7.762431195
30.9,1.8,0.7,2.2,-8.491975577
31,1.8,0.7,2.2,-9.294531907
31.1,1.8,0.7,2.2,-10.16994274
31.2,1.8,0.7,2.2,-11.11137925
31.3,1.8,0.7,2.2,-12.09965749
31.4,1.8,0.7,2.2,-13.09446817
31.5,1.8,0.7,2.2,-14.024171
31.6,1.8,0.7,2.2,-14.78299094
31.7,1.8,0.7,2.2,-15.25377059
31.8,1.8,0.7,2.2,-15.36345962
31.9,1.8,0.7,2.2,-15.13112818
32,1.8,0.7,2.2,-14.65378663
32.1,1.8,0.7,2.2,-14.04752312
32.2,1.8,0.7,2.2,-13.40380041
32.3,1.8,0.7,2.2,-12.77955404
32.4,1.8,0.7,2.2,-12.20482045
32.5,1.8,0.7,2.2,-11.69290379
32.6,1.8,0.7,2.2,-11.24787121
32.7,1.8,0.7,2.2,-10.86911294
32.8,1.8,0.7,2.2,-10.55388386
32.9,1.8,0.7,2.2,-10.29865035
33,1.8,0.7,2.2,-10.09977264
33.1,1.8,0.7,2.2,-9.953827033
